year,level,conference,author,title,isBest
2019,"A","PPoPP","Herbert Jordan","Brie - A Specialized Trie for Concurrent Datalog.",false
2019,"A","PPoPP","Kartik Lakhotia","GPOP - a cache and memory-efficient framework for graph processing over partitions.",false
2019,"A","PPoPP","Pierre LaBorde","Wait-free Dynamic Transactions for Linked Data Structures.",false
2019,"A","PPoPP","Qingsen Wang","Lightweight hardware transactional memory profiling.",true
2019,"A","SIGMOD","Abolfazl Asudeh","Designing Fair Ranking Schemes.",false
2019,"A","SIGMOD","Babak Salimi","Interventional Fairness: Causal Database Repair for Algorithmic Fairness",true
2019,"A","SIGMOD","Stephen H. Bach","Snorkel DryBell: A Case Study in Deploying Weak Supervision at Industrial Scale.",false
2019,"B","ISSTA","Aashish Kolluri","Exploiting The Laws of Order in Smart Contracts.",false
2019,"B","ISSTA","Xia Li","DeepFL: integrating multiple fault diagnosis dimensions for deep fault localization",true
2019,"B","ISSTA","Xiaofei Xie","DeepHunter: a coverage-guided fuzz testing framework for deep neural networks",false
2019,"B","ISSTA","Yiling Lou","History-driven build failure fixing: how far are we?",true
2019,"B","ISSTA","Zhe Chen","Detecting memory errors at runtime with source-level instrumentation",true
2019,"B","IUI","Carrie J. Cai","The effects of example-based explanations in a machine learning interface",true
2019,"B","IUI","Charlie Hewitt","Assessing public perception of self-driving cars: the autonomous vehicle acceptance model",false
2019,"B","IUI","Christine T. Wolf","Explainability scenarios: towards scenario-based XAI design",false
2019,"B","IUI","Jonathan Dodge","Explaining models: an empirical study of how explanations impact fairness judgment",true
2019,"B","IUI","Malin Eiband","When people and algorithms meet: user-reported problems in intelligent everyday applications",true
2019,"B","IUI","Pigi Kouki","Personalized explanations for hybrid recommender systems",true
2019,"B","IUI","Upol Ehsan","Automated Rationale Generation: A Technique for Explainable AI and its Effects on Human Perceptions.",false
2019,"B","IUI","Vicente Dominguez","The effect of explanations and algorithmic accuracy on visual recommender systems of artistic images",true
2019,"B","IUI","Vikram Mohanty","Photo sleuth: combining human expertise and face recognition to identify historical portraits",true
2019,"B","IUI","Yen-Chia Hsu","Smell Pittsburgh: community-empowered mobile smell reporting system",true
2019,"B","PODS","Cynthia Dwork","Differential Privacy and the US Census",false
2019,"B","PODS","Liat Peterfreund","Complexity Bounds for Relational Algebra over Document Spanners.",false
2019,"B","PODS","Marcelo Arenas","Efficient Logspace Classes for Enumeration, Counting, and Uniform Generation",true
2019,"B","PODS","Martin Grohe","Probabilistic Databases with an Infinite Open-World Assumption.",false
2019,"B","PODS","Nofar Carmeli","On the Enumeration Complexity of Unions of Conjunctive Queries",true
2019,"B","VEE","Juan Fumero","Dynamic application reconfiguration on heterogeneous hardware",false
2019,"B","VEE","Pierre Olivier","A binary-compatible unikernel",true
2019,"B","VEE","Wenhao Li","TEEv: virtualizing trusted execution environments on mobile platforms",true
2018,"A","AAAI","Chenjun Xiao","Memory-Augmented Monte Carlo Tree Search.",true
2018,"A","AAAI","Matteo Hessel","Rainbow: Combining Improvements in Deep Reinforcement Learning.",false
2018,"A","AAAI","Peter Henderson","Deep Reinforcement Learning that Matters.",false
